Episode, avg_return, max_return, min_return
1, -1405.8623540648305, -956.9074355049181, -1671.6099258574898
101, -1144.9709806000765, -894.9037176154707, -1410.8686095786643
201, -1463.506689905363, -1249.068991044932, -1515.2277294747903
301, -1384.5623060869418, -1042.4852612741215, -1507.2881468963244
401, -1270.075230259007, -10.805816669216838, -1501.4003010433473
501, -1149.5127646706264, -12.252458093794136, -1510.4986127119937
601, -1025.6370011149957, -7.864805601176089, -1499.6592086592984
701, -720.8530423751903, -7.425370492086123, -1509.2963972345553
801, -448.7747591719776, -5.664547151324502, -1500.024584137532
901, -529.0729420110172, -2.792488479332163, -1495.0422387408216
1001, -321.6441668253666, -1.757030897556395, -1498.60747790921
1101, -222.89988748437273, -2.433497306369934, -504.6244736886551
1201, -268.6740015700978, -2.192990767689951, -1492.371232379693
1301, -183.81529873504078, -2.19956193848892, -342.03000931529795
1401, -176.84534125927522, -2.1448548765347377, -405.87474102972834
1501, -154.85478702600693, -1.7849812504552713, -363.15266290847546
1601, -159.99422082200186, -1.7714445861232062, -284.6718218294307
1701, -146.02977876099456, -2.635484743315859, -305.90489135919233
1801, -130.0038658501362, -2.687892455774006, -248.7123212677264
1901, -140.29105702308263, -2.373437894694386, -254.26080891821786
2001, -136.11152658773247, -1.9723438049433977, -242.25331943069696
2101, -111.34055113064775, -1.8924140196720032, -244.8585016801075
2201, -155.90534563565535, -2.0549348904857, -321.25596217099087
2301, -131.42673223172935, -2.342868194299884, -246.2182949797747
2401, -174.64284611382442, -1.50458177941497, -342.77305406783313
2501, -149.99807758722608, -3.180010381874353, -338.992904879236
2601, -137.32088781438097, -3.361868318153942, -398.270848658737
2701, -163.63787285871103, -2.9988613546132386, -461.24878658524545
2801, -139.5846016762506, -1.0249092188353226, -336.6848245030165
2901, -133.537746293731, -0.5318053725810301, -341.9052008671383
3001, -166.55893222718868, -1.1417749316665387, -348.74751064605084
3101, -233.3329641293426, -1.306449182951097, -1555.1042778375402
3201, -315.45502673455206, -6.03725532095787, -1547.3962184955024
3301, -215.10044353183844, -1.272309377823348, -1498.077253553503
3401, -123.07648258762956, -1.0692147018457847, -399.8836755966535
3501, -118.99175032831477, -1.0689895523133706, -236.1173570315699
3601, -308.16668002090205, -1.3746376620371958, -1495.1807371633413
3701, -120.68475908040367, -0.7716417499038124, -273.0564400922739
3801, -164.3276514086627, -0.4289152548189135, -352.2109422536322
3901, -113.53443749312191, -1.3221721454833968, -350.7635062669393
4001, -154.32889588850668, -0.563308354346871, -364.39926142607027
